N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
113,동서,"30,600",100,+0.33%,500,"30,508","99,700",3.44,"49,233",26.68,8.61,
114,포스코인터내셔널,"24,600",500,-1.99%,"5,000","30,350","123,375",13.27,"859,891",11.74,7.69,
115,대우건설,"7,300",10,+0.14%,"5,000","30,340","415,623",9.93,"1,006,542",8.20,11.06,
116,만도,"64,200",300,+0.47%,"1,000","30,146","46,957",24.23,"177,365",64.78,0.37,
117,한솔케미칼,"265,000","1,000",+0.38%,"5,000","30,038","11,335",41.93,"29,379",23.16,24.50,
118,CJ,"102,000","1,500",-1.45%,"5,000","29,761","29,177",17.70,"52,764",-269.13,1.89,
119,LG화학우,"387,000","1,000",-0.26%,"5,000","29,756","7,689",67.33,"7,428",16.85,N/A,
120,KCC,"334,500","15,000",-4.29%,"5,000","29,725","8,886",11.55,"72,668",3.45,12.79,
121,DB하이텍,"66,600",0,0.00%,"5,000","29,569","44,399",18.78,"527,480",18.67,23.07,
122,BGF리테일,"169,000","1,000",-0.59%,"1,000","29,210","17,284",32.46,"15,324",23.08,18.60,
123,제일기획,"24,750",150,+0.61%,200,"28,473","115,041",33.87,"149,071",17.16,16.11,
124,한샘,"120,000","1,000",+0.84%,"1,000","28,241","23,534",19.73,"70,350",38.50,10.83,
125,DL이앤씨,"144,500",500,-0.34%,"5,000","27,973","19,359",27.70,"84,965",N/A,N/A,
126,한화에어로스페이스,"55,000",100,-0.18%,"5,000","27,846","50,630",19.67,"241,840",12.47,4.78,
127,현대로템,"25,450",50,+0.20%,"5,000","27,777","109,142",5.19,"1,713,108",58.91,2.84,
128,OCI,"114,500",500,-0.43%,"5,000","27,308","23,849",14.49,"119,648",-17.95,-9.89,
129,신세계,"271,000","1,500",-0.55%,"5,000","26,680","9,845",27.79,"30,740",-83.46,-2.81,
130,효성첨단소재,"588,000","1,000",-0.17%,"5,000","26,342","4,480",11.24,"35,972",72.57,0.03,
131,현대차우,"108,000","1,000",-0.92%,"5,000","26,305","24,357",58.99,"20,335",13.07,N/A,
132,현대위아,"95,200",500,-0.52%,"5,000","25,890","27,195",7.84,"115,954",168.20,1.96,
133,더존비즈온,"84,300","1,200",-1.40%,500,"25,577","30,341",39.09,"60,849",46.94,15.09,
134,BNK금융지주,"7,720",80,-1.03%,"5,000","25,162","325,935",38.17,"768,798",4.38,6.11,
135,효성,"117,000",500,+0.43%,"5,000","24,653","21,071",9.60,"46,927",87.44,-2.26,
136,대한전선,"2,845",250,+9.63%,500,"24,367","856,473",3.15,"145,861,263",203.21,0.92,
137,하이트진로,"34,550",250,+0.73%,"5,000","24,231","70,134",5.51,"273,015",29.89,8.23,
138,KODEX 단기채권,"102,855",0,0.00%,0,"23,533","22,880",0.00,"10,651",N/A,N/A,
139,현대해상,"26,250",200,+0.77%,500,"23,468","89,400",27.98,"336,870",6.34,7.13,
140,LS,"71,400",100,+0.14%,"5,000","22,991","32,200",15.14,"46,390",12.57,3.94,
141,TIGER 200,"43,650",35,-0.08%,0,"22,763","52,150",0.00,"630,798",N/A,N/A,
142,한화,"30,300",200,-0.66%,"5,000","22,712","74,959",17.65,"279,840",7.76,4.79,
